Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2010-01-04,6.44033145904541,6.45507725915592,6.391278972378066,6.422877172871004,493729600
2010-01-05,6.451466083526611,6.487879368872802,6.417459939457402,6.458086826968792,601904800
2010-01-06,6.348846435546875,6.477045280657176,6.342225692663006,6.451465539489639,552160000
2010-01-07,6.3371100425720215,6.379843531927759,6.291066984952576,6.372319959542432,477131200
2010-01-08,6.379239082336426,6.379841369716047,6.291366599207371,6.328681898420276,447610800
2010-01-11,6.3229660987854,6.409936173343546,6.273010388314571,6.403917316228298,462229600
2010-01-12,6.251041889190674,6.31273437428661,6.21192052125898,6.295279285939875,594459600
2010-01-13,6.339216232299805,6.34764263282566,6.1421038718775645,6.255556925343339,605892000
2010-01-14,6.302502155303955,6.333498868494199,6.290163899676365,6.322966270050092,432894000
2010-01-15,6.197174549102783,6.367805536404338,6.195368891923551,6.34764236456958,594067600
2010-01-19,6.471327304840088,6.475841447952822,6.2365978898712315,6.269399457778435,730007600
2010-01-20,6.37171745300293,6.486674406258934,6.304608403474319,6.467414465836276,612152800
2010-01-21,6.261574745178223,6.419265602042172,6.2356944607414775,6.382250832690952,608154400
2010-01-22,5.951009750366211,6.244422252842924,5.933254922521883,6.222755167225841,881767600
2010-01-25,6.111107349395752,6.16015943254039,6.024437807372042,6.0942549496076115,1065699600
2010-01-26,6.197475433349609,6.431302812541222,6.096361043026214,6.197776376209968,1867110000
2010-01-27,6.255858421325684,6.337110599470052,6.004576304881323,6.224861702167099,1722568400
2010-01-28,5.997353553771973,6.184235074027143,5.9795987265158175,6.167082132562241,1173502400
2010-01-29,5.779775619506836,6.084924808953682,5.725306174385902,6.051220016650193,1245952400
2010-02-01,5.860126495361328,5.898345437483027,5.756905498420523,5.78910558295049,749876400
2010-02-02,5.8941330909729,5.9079764654391855,5.819501254989006,5.895638207381755,698342400
2010-02-03,5.995546340942383,6.024737392452094,5.850796060042472,5.873366369566044,615328000
2010-02-04,5.779477119445801,5.969668227613342,5.765031858963543,5.920314391218215,757652000
2010-02-05,5.8820953369140625,5.898346254663203,5.743363864547432,5.796930900949433,850306800
2010-02-08,5.841768741607666,5.9549208411804475,5.838157427448201,5.889015964941626,478270800
2010-02-09,5.9040632247924805,5.943485535788941,5.860728254652928,5.910984509080721,632886800
2010-02-10,5.871861934661865,5.916401071984377,5.845981654707534,5.8950337291294534,370361600
2010-02-11,5.97869348526001,6.0111949052638085,5.8399620713779745,5.864638978727041,550345600
2010-02-12,6.030154705047607,6.0680726986232685,5.883297816098785,5.961841886968793,655468800
2010-02-16,6.121037006378174,6.12976394618212,6.064460962784534,6.077100159166336,543737600
2010-02-17,6.095460891723633,6.14842524774736,6.044601931129766,6.144813932074919,436396800
2010-02-18,6.106894016265869,6.13578413084111,6.046405702998772,6.067771843810248,422825200
2010-02-19,6.06897497177124,6.115018420716437,6.052122575252121,6.074693287277048,415469600
2010-02-22,6.0313591957092285,6.093954111565596,5.994344425549897,6.089139427109654,390563600
2010-02-23,5.930245399475098,6.058745214283891,5.8896193104897225,6.018720609347997,575094800
2010-02-24,6.038580894470215,6.062053631168325,5.953716223438179,5.965452993580057,460566400
2010-02-25,6.078907012939453,6.104787296426052,5.92512882100587,5.939874619986777,665126000
2010-02-26,6.157751083374023,6.1743025370301305,6.078906071835961,6.090341497444216,507460800
2010-03-01,6.2892608642578125,6.304608145246488,6.182729109705924,6.191756992956822,550093600
2010-03-02,6.2850494384765625,6.34463452941129,6.25164517617949,6.317550068428545,566546400
2010-03-03,6.299492835998535,6.315743751968442,6.257663381692075,6.287756866939419,372052800
2010-03-04,6.34102201461792,6.347341815136955,6.2784271005699805,6.297988789683704,366041200
2010-03-05,6.588993072509766,6.611563384617907,6.45898857299002,6.468317801402433,899620400
2010-03-08,6.592904567718506,6.623298586880981,6.567926715680666,6.6208914461359,429889600
