Strategy,Success Rate (%),Per-Trade Return (%),Number of Trades
MACD,36.95652173913043,0.26340840014130357,92
RSI,76.92307692307693,2.0836155763303874,13
Supertrend,47.82608695652174,2.8502252926167695,23
Neural Network,62.5,1.633407513403399,48
